week,function,y,d,x1,x2,x3,x4,x5,x6,x7,x8
1,1,3.1007222612420183e-34,2,0.759779,0.804108,,,,,,
1,2,0.5697925224470959,2,0.717915,0.002064,,,,,,
1,3,-0.15184421067439557,3,0.994942,0.051967,0.792526,,,,,
1,4,-0.7158150747637886,4,0.404477,0.413254,0.303108,0.434359,,,,
1,5,3653.9508244023123,4,0.940282,0.064909,0.998637,0.996528,,,,
1,6,-1.362061899095797,5,0.379776,0.684419,0.068171,0.984146,0.290503,,,
1,7,0.23953469687403112,6,0.015298,0.590564,0.658382,0.751493,0.425786,0.776978,,
1,8,9.5899381138985,8,0.034492,0.437681,0.011459,0.323393,0.989664,0.04578,0.097175,0.702465
2,1,-1.5128848035920745e-27,2,0.803235,0.719438,,,,,,
2,2,-0.07246455447837852,2,0.957387,0.923033,,,,,,
2,3,-0.18459122364472474,3,0.009308,0.062825,0.001028,,,,,
2,4,0.17210062777932267,4,0.398003,0.395708,0.361254,0.442257,,,,
2,5,2302.888293792964,4,0.99741,0.041752,0.791796,0.974979,,,,
2,6,-0.5167300172269783,5,0.493449,0.127064,0.631478,0.904964,0.008065,,,
2,7,2.106421403862077,6,0.015116,0.182436,0.288522,0.173288,0.397265,0.665194,,
2,8,9.4080195084551,8,0.358728,0.042807,0.355074,0.019341,0.809116,0.05435,0.053363,0.000727
3,1,-6.315914050868028e-31,2,0.81,0.73,,,,,,
3,2,0.1551709649428233,2,0.62,0.82,,,,,,
3,3,-0.14601911938969364,3,0.7,0.85,0.2,,,,,
3,4,-0.03231027880219939,4,0.41,0.4,0.37,0.45,,,,
3,5,1820.0386226597477,4,0.95,0.08,0.82,0.95,,,,
3,6,-0.5790954443054444,5,0.52,0.15,0.6,0.88,0.05,,,
3,7,2.081316196964551,6,0.03,0.2,0.3,0.2,0.42,0.7,,
3,8,9.38655,8,0.4,0.08,0.38,0.05,0.78,0.08,0.09,0.05
4,1,0.19574056182365185,2,0.65,0.65,,,,,,
4,2,0.06559172383252594,2,0.6,0.6,,,,,,
4,3,-0.02317521778184225,3,0.4,0.4,0.4,,,,,
4,4,0.11235148371098136,4,0.405,0.395,0.365,0.445,,,,
4,5,3139.315002081799,4,0.93,0.07,0.98,0.98,,,,
4,6,-0.4885048992694732,5,0.55,0.2,0.65,0.9,0.05,,,
4,7,1.9420943968060265,6,0.02,0.22,0.32,0.22,0.44,0.72,,
4,8,9.42314,8,0.38,0.07,0.36,0.04,0.8,0.07,0.08,0.06
5,1,-0.011126629970519513,2,0.67,0.63,,,,,,
5,2,0.27703361070471405,2,0.55,0.65,,,,,,
5,3,-0.030841599630695098,3,0.3,0.5,0.4,,,,,
5,4,-0.09335486467164911,4,0.415,0.385,0.355,0.455,,,,
5,5,2739.141203834394,4,0.92,0.09,0.96,0.97,,,,
5,6,-0.5354970357103968,5,0.58,0.23,0.68,0.88,0.07,,,
5,7,1.8107605530408162,6,0.03,0.24,0.34,0.24,0.46,0.74,,
5,8,9.43211,8,0.39,0.09,0.37,0.06,0.79,0.09,0.1,0.08
6,1,-6.140981384114098e-05,2,0.7,0.6,,,,,,
6,2,0.6093110097141048,2,0.5,0.7,,,,,,
6,3,-0.0064795267698472825,3,0.35,0.55,0.45,,,,,
6,4,-0.01683800125710233,4,0.4,0.4,0.35,0.45,,,,
6,5,2917.697037051687,4,0.94,0.08,0.97,0.96,,,,
6,6,-0.5243741072755571,5,0.6,0.26,0.72,0.9,0.09,,,
6,7,1.6110277606592711,6,0.025,0.26,0.36,0.26,0.48,0.76,,
6,8,9.42139,8,0.4,0.1,0.38,0.07,0.8,0.1,0.11,0.09
7,1,1.0564719793722386,2,0.64,0.64,,,,,,
7,2,0.057332586929453574,2,0.45,0.75,,,,,,
7,3,-0.0002479018705152763,3,0.37,0.57,0.47,,,,,
7,4,0.17773128771409263,4,0.398,0.395,0.361,0.442,,,,
7,5,3636.4346291052143,4,0.94,0.06,0.998,0.996,,,,
7,6,-0.4762217871571073,5,0.54,0.19,0.64,0.89,0.04,,,
7,7,2.1056615318944987,6,0.015,0.182,0.288,0.173,0.397,0.665,,
7,8,9.5893631,8,0.034,0.437,0.011,0.323,0.989,0.045,0.097,0.702
8,1,1.9796320316224518,2,0.63,0.63,,,,,,
8,2,0.5221705386684005,2,0.48,0.72,,,,,,
8,3,-0.006061532108970614,3,0.38,0.58,0.48,,,,,
8,4,0.2022711281059455,4,0.397,0.394,0.36,0.441,,,,
8,5,3671.957773777499,4,0.941,0.066,0.999,0.997,,,,
8,6,-0.4757668250170818,5,0.53,0.18,0.63,0.88,0.03,,,
8,7,2.0970194485612095,6,0.014,0.18,0.285,0.17,0.395,0.66,,
8,8,9.5878039,8,0.033,0.436,0.01,0.322,0.99,0.044,0.096,0.701
9,1,9.167126248832658e-05,2,0.68,0.68,,,,,,
9,2,-0.0994494438766709,2,0.05,0.95,,,,,,
9,3,-0.2349492026170562,3,0.95,0.95,0.95,,,,,
9,4,-28.340891208127434,4,0.1,0.1,0.9,0.9,,,,
9,5,4436.361460610766,4,0.9999,0.0001,0.9999,0.9999,,,,
9,6,-2.1919760717355024,5,0.02,0.02,0.02,0.02,0.02,,,
9,7,1.8267073423669324,6,0.005,0.005,0.3,0.15,0.4,0.7,,
9,8,9.4762495,8,0.01,0.45,0.01,0.35,0.999,0.01,0.01,0.75
10,1,1.9419297005554277,2,0.628,0.632,,,,,,
10,2,0.542410663773682,2,0.49,0.71,,,,,,
10,3,-0.004841826034045495,3,0.372,0.568,0.472,,,,,
10,4,0.21720824171180242,4,0.3965,0.3935,0.359,0.4405,,,,
10,5,4440.106252729081,4,0.99999,1e-05,0.99999,0.99999,,,,
10,6,-0.49582610374123026,5,0.525,0.175,0.625,0.875,0.025,,,
10,7,2.099081878612477,6,0.0145,0.1815,0.2895,0.1725,0.398,0.666,,
10,8,9.590284251,8,0.0348,0.4382,0.0118,0.3238,0.9905,0.0462,0.0978,0.7032
