[np.float64(3.1007222612420183e-34), np.float64(0.5697925224470959), np.float64(-0.15184421067439557), np.float64(-0.7158150747637886), np.float64(3653.9508244023123), np.float64(-1.362061899095797), np.float64(0.23953469687403112), np.float64(9.5899381138985)]
[np.float64(-1.5128848035920745e-27), np.float64(-0.07246455447837852), np.float64(-0.18459122364472474), np.float64(0.17210062777932267), np.float64(2302.888293792964), np.float64(-0.5167300172269783), np.float64(2.106421403862077), np.float64(9.4080195084551)]
[np.float64(-6.315914050868028e-31), np.float64(0.1551709649428233), np.float64(-0.14601911938969364), np.float64(-0.03231027880219939), np.float64(1820.0386226597477), np.float64(-0.5790954443054444), np.float64(2.081316196964551), np.float64(9.38655)]
[np.float64(0.19574056182365185), np.float64(0.06559172383252594), np.float64(-0.02317521778184225), np.float64(0.11235148371098136), np.float64(3139.315002081799), np.float64(-0.4885048992694732), np.float64(1.9420943968060265), np.float64(9.42314)]
[np.float64(-0.011126629970519513), np.float64(0.27703361070471405), np.float64(-0.030841599630695098), np.float64(-0.09335486467164911), np.float64(2739.141203834394), np.float64(-0.5354970357103968), np.float64(1.8107605530408162), np.float64(9.43211)]
[np.float64(-6.140981384114098e-05), np.float64(0.6093110097141048), np.float64(-0.0064795267698472825), np.float64(-0.01683800125710233), np.float64(2917.697037051687), np.float64(-0.5243741072755571), np.float64(1.6110277606592711), np.float64(9.42139)]
[np.float64(1.0564719793722386), np.float64(0.057332586929453574), np.float64(-0.0002479018705152763), np.float64(0.17773128771409263), np.float64(3636.4346291052143), np.float64(-0.4762217871571073), np.float64(2.1056615318944987), np.float64(9.5893631)]
[np.float64(1.9796320316224518), np.float64(0.5221705386684005), np.float64(-0.006061532108970614), np.float64(0.2022711281059455), np.float64(3671.957773777499), np.float64(-0.4757668250170818), np.float64(2.0970194485612095), np.float64(9.5878039)]
[np.float64(9.167126248832658e-05), np.float64(-0.0994494438766709), np.float64(-0.2349492026170562), np.float64(-28.340891208127434), np.float64(4436.361460610766), np.float64(-2.1919760717355024), np.float64(1.8267073423669324), np.float64(9.4762495)]
[np.float64(1.9419297005554277), np.float64(0.542410663773682), np.float64(-0.004841826034045495), np.float64(0.21720824171180242), np.float64(4440.106252729081), np.float64(-0.49582610374123026), np.float64(2.099081878612477), np.float64(9.590284251)]
[np.float64(1.921026832781115), np.float64(0.6635125906297019), np.float64(-0.00017936670683104842), np.float64(0.20283523231676925), np.float64(4440.480873839292), np.float64(-0.5145594859705839), np.float64(2.107605213356428), np.float64(9.590175376)]
