week,function,y,d,x1,x2,x3,x4,x5,x6,x7,x8
1,1,3.10072226124202e-34,2,0.759779,0.804108,,,,,,
1,2,0.569792522447096,2,0.717915,0.002064,,,,,,
1,3,-0.151844210674396,3,0.994942,0.051967,0.792526,,,,,
1,4,-0.715815074763789,4,0.404477,0.413254,0.303108,0.434359,,,,
1,5,3653.95082440231,4,0.940282,0.064909,0.998637,0.996528,,,,
1,6,-1.3620618990958,5,0.379776,0.684419,0.068171,0.984146,0.290503,,,
1,7,0.239534696874031,6,0.015298,0.590564,0.658382,0.751493,0.425786,0.776978,,
1,8,9.5899381138985,8,0.034492,0.437681,0.011459,0.323393,0.989664,0.04578,0.097175,0.702465
2,1,-1.51288480359207e-27,2,0.803235,0.719438,,,,,,
2,2,-0.0724645544783785,2,0.957387,0.923033,,,,,,
2,3,-0.184591223644725,3,0.009308,0.062825,0.001028,,,,,
2,4,0.172100627779323,4,0.398003,0.395708,0.361254,0.442257,,,,
2,5,2302.88829379296,4,0.99741,0.041752,0.791796,0.974979,,,,
2,6,-0.516730017226978,5,0.493449,0.127064,0.631478,0.904964,0.008065,,,
2,7,2.10642140386208,6,0.015116,0.182436,0.288522,0.173288,0.397265,0.665194,,
2,8,9.4080195084551,8,0.358728,0.042807,0.355074,0.019341,0.809116,0.05435,0.053363,0.000727
