week,function,d,x1,x2,x3,x4,x5,x6,x7,x8,y
1,1,2,0.759779,0.804108,,,,,,,3.1007222612420183e-34
1,2,2,0.717915,0.002064,,,,,,,0.5697925224470959
1,3,3,0.994942,0.051967,0.792526,,,,,,-0.15184421067439557
1,4,4,0.404477,0.413254,0.303108,0.434359,,,,,-0.7158150747637886
1,5,4,0.940282,0.064909,0.998637,0.996528,,,,,3653.9508244023123
1,6,5,0.379776,0.684419,0.068171,0.984146,0.290503,,,,-1.362061899095797
1,7,6,0.015298,0.590564,0.658382,0.751493,0.425786,0.776978,,,0.23953469687403112
1,8,8,0.034492,0.437681,0.011459,0.323393,0.989664,0.04578,0.097175,0.702465,9.5899381138985
2,1,2,0.803235,0.719438,,,,,,,-1.5128848035920745e-27
2,2,2,0.957387,0.923033,,,,,,,-0.07246455447837852
2,3,3,0.009308,0.062825,0.001028,,,,,,-0.18459122364472474
2,4,4,0.398003,0.395708,0.361254,0.442257,,,,,0.17210062777932267
2,5,4,0.99741,0.041752,0.791796,0.974979,,,,,2302.888293792964
2,6,5,0.493449,0.127064,0.631478,0.904964,0.008065,,,,-0.5167300172269783
2,7,6,0.015116,0.182436,0.288522,0.173288,0.397265,0.665194,,,2.106421403862077
2,8,8,0.358728,0.042807,0.355074,0.019341,0.809116,0.05435,0.053363,0.000727,9.4080195084551
3,1,2,0.81,0.73,,,,,,,-6.315914050868028e-31
3,2,2,0.62,0.82,,,,,,,0.1551709649428233
3,3,3,0.7,0.85,0.2,,,,,,-0.14601911938969364
3,4,4,0.41,0.4,0.37,0.45,,,,,-0.03231027880219939
3,5,4,0.95,0.08,0.82,0.95,,,,,1820.0386226597477
3,6,5,0.52,0.15,0.6,0.88,0.05,,,,-0.5790954443054444
3,7,6,0.03,0.2,0.3,0.2,0.42,0.7,,,2.081316196964551
3,8,8,0.4,0.08,0.38,0.05,0.78,0.08,0.09,0.05,9.38655
